"";"mean";"ll";"ul";"t";"df";"pv";"bfs.l";"bfs.m";"bfs.w";"bfs.u";"dts";"r2"
"1:30";2,55324728926603;2,51710995441656;2,58938462411551;144,503656992229;29;5,33119869776646e-43;89,2368005307551;89,9293412541208;90,2751069187715;90,6200669958731;8,65775212795411;0,998613124132482
"31:60";2,42054242798856;2,36858019889002;2,4725046570871;95,2723778337948;29;9,16824592890599e-38;77,599951473912;78,2917038937995;78,6364214155263;78,9792951703718;18,9763430589561;0,996815225760988
"61:90";2,54283341786853;2,51599968641823;2,56966714931882;193,811221926537;29;1,07913823078357e-46;97,4478111354173;98,1406211576989;98,486745415072;98,8324210633645;7,11202872655073;0,99922855495317
"91:120";2,39216473313244;2,34616496613013;2,43816450013476;106,359804405543;29;3,79854943459459e-39;80,6729922381682;81,3650201587579;81,7101037301796;82,053705220318;10,8963881188811;0,997442998257586
"121:150";3,03612556391183;2,92934697751187;3,1429041503118;58,1537385903403;29;1,40275373514847e-31;63,8537210061344;64,543151738647;64,8847952293851;65,2215934435544;4,48372002058607;0,991497738736333
"151:180";3,04705405614674;3,01555442147631;3,07855369081717;197,841192192075;29;5,94388553272506e-47;98,0235867179408;98,716410334749;99,0625527014504;99,4082645112565;10,7632570396375;0,999259640073325
"181:210";2,92812202519322;2,89693096188024;2,9593130885062;191,999929646993;29;1,41659469623522e-46;97,1851213568836;97,8779249883952;98,224040732833;98,5696993829276;9,370042190792;0,999213942448817
"211:240";2,78581544380648;2,75171193488215;2,8199189527308;167,068800334486;29;7,97030945755781e-45;93,2943947026596;93,987088164971;94,3330571804815;94,6784229310992;13,5914705248789;0,998962098115332
"241:270";3,26968801973569;3,15690309999947;3,38247293947192;59,2921719865532;29;8,03120118422859e-32;64,392366480766;65,0819357163765;65,423762067304;65,7609199449578;5,04813466054806;0,991818452381179
"271:300";3,244262643944;3,17191624642671;3,3166090414613;91,7151697107203;29;2,75423378076101e-37;76,5382498715939;77,2298921262148;77,5744633520647;77,9170465208708;14,7676922306138;0,996564254744162
"301:330";3,03419773275101;2,99441567858926;3,07397978691276;155,990716765977;29;5,8162943539142e-44;91,3756220411198;92,068248780886;92,4141289538663;92,7593174323329;8,17757168990151;0,998809626609562
"331:360";3,02959781410817;2,97738888929491;3,08180673892144;118,68130353797;29;1,59275012968669e-40;83,7346491615027;84,426897355821;84,7722738000165;85,1164582261414;17,4846462369832;0,997945339193925
